Rk.,SNo,Name,Rtg,Club/City,TB1,TB2,TB3
1,11,"Vedia Caiguara, Alejandro Rider",0,Escobar,7.0,0,26.0
2,12,"Víctor, Pedro",0,Lobos,6.0,0,27.0
3,1,"Areitio, Valentino",0,Luján,5.0,0,26.5
4,13,"Villar, Lorenzo",0,Campana,4.0,0,26.5
5,4,"Fernandez, Gianlucca",0,Escobar,4.0,0,25.5
6,7,"Laforet, Juan Pablo",0,Escobar,3.5,0,28.0
7,6,"Gnazzo, Victoria",0,Lobos,3.5,0,27.0
8,5,"Gelmetti De León, Luciano",0,Campana,3.5,0,21.5
9,9,"Pousa, Nicolás",0,Escobar,3.0,0,23.5
10,10,"Trobec, Sol",0,Villars,2.5,0,22.5
11,8,"Mujica Alancay, Maximiliano",0,Lobos,2.0,0,21.5
12,3,"Cendon Denis, Adriel",0,General Rodríguez,1.5,0,12.5
13,2,"Baez	, Cielo",0,Tigre,1.0,0,17.5
