Rk.,SNo,Name,Rtg,Club/City,TB1,TB2,TB3
1,27,"Villar, Rodrigo",0,Campana,6.0,0,28.0
2,3,"Córdoba, Bautista",1509,General Rodríguez,5.5,0,31.0
3,16,"Martínez, Iñaki",0,Lobos,5.5,0,27.5
4,2,"Frias Perez, Mateo",1628,Derqui,5.0,0,31.5
5,6,"Amarilla, Eros",0,General Rodríguez,5.0,0,31.0
6,8,"Bilo, Bautista",0,Lobos,4.5,0,29.0
7,1,"Pallone, Tatiana",1748,General Rodríguez,4.5,0,28.0
8,25,"Silvetti Cifulella, Francesca",0,Jauregui,4.0,0,27.5
9,17,"Merialdo, Amador",0,Suipacha,4.0,0,26.5
10,22,"Pesantes, Thiago",0,Marcos Paz,4.0,0,26.5
11,24,"Salleres, Kiara",0,Escobar,4.0,0,25.0
12,26,"Vargas, Alejandro",0,Escobar,4.0,0,24.5
13,15,"Lezcano	, Luan",0,Tigre,4.0,0,19.5
14,21,"Parra	, Florencia",0,Tigre,4.0,0,18.5
15,4,"Aguilar, Gabriel",0,Baradero,3.5,0,27.0
16,13,"González, Felipe Edgardo",0,Escobar,3.0,0,26.5
17,11,"Fontanet, Mateo",0,San Pedro,3.0,0,25.5
18,19,"Muratorio, Matias",0,Suipacha,3.0,0,21.5
19,12,"Gomez, Maitén",0,Escobar,3.0,0,20.5
20,14,"Gonzalez, Newen",0,Baradero,3.0,0,18.5
21,10,"Dyriv	, Daniel",0,Tigre,3.0,0,18.0
22,9,"Cocarico Choque, David",0,Zárate,2.5,0,24.5
23,7,"Amarilla, Thiago",0,Baradero,2.5,0,24.0
24,18,"Montenegro, Mateo",0,Suipacha,2.5,0,18.0
25,5,"Alvarez, René",0,Baradero,2.0,0,24.0
26,20,"Nuñez Montegutti	, Valentina",0,Tigre,2.0,0,21.5
27,28,"Villasrreo, Micaela",0,Lobos,1.0,0,21.0
28,23,"Polero, Victoria",0,General Rodríguez,0.0,0,16.0
